Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,759408703,9742.828544381651,892997,11.45669864893184,58388,6866434,88.09286607993045,5389,0.06913813710358901,259,
United States of America,Americas,102247392,30890.203,227828,68.83,0,1111342,335.75,2197,0.664,0
China,Western Pacific,99109603,6736.253,79475,5.402,7125,120227,8.172,362,0.025,46
India,South-East Asia,44688367,3238.277,1996,0.145,266,530775,38.462,4,0,0
France,Europe,38538948,59254.809,25712,39.533,953,161397,248.153,144,0.221,26
Germany,Europe,38221663,45957.887,65519,78.78,7030,168583,202.705,84,0.101,10
Brazil,Americas,37076053,17442.677,51636,24.293,0,699276,328.979,329,0.155,0
Japan,Western Pacific,33264491,26300.934,73927,58.451,4263,72805,57.564,485,0.383,34
Republic of Korea,Western Pacific,30581499,59648.889,67778,132.2,12284,34049,66.412,72,0.14,15
Italy,Europe,25603510,42929.026,14017,23.502,0,188322,315.757,104,0.174,0
The United Kingdom,Europe,24396534,35937.502,9023,13.291,0,207695,305.947,25,0.037,0
Russian Federation,Europe,22363740,15324.509,91270,62.542,10449,396378,271.614,278,0.19,42
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13770429,29092.898,7093,14.985,0,119479,252.424,235,0.496,0
Viet Nam,Western Pacific,11526966,11842.135,61,0.063,0,43186,44.367,0,0,0
Australia,Western Pacific,11380700,44630.399,0,0,0,19447,76.263,0,0,0
Argentina,Americas,10044957,22225.434,832,1.841,0,130472,288.682,9,0.02,0
Netherlands,Europe,8598182,49393.308,2924,16.797,0,22992,132.08,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7570743,9013.546,2919,3.475,511,144902,172.517,57,0.068,9
Mexico,Americas,7470653,5794.224,14133,10.962,0,333100,258.352,42,0.033,0
Indonesia,South-East Asia,6737606,2463.263,1560,0.57,303,160934,58.837,20,0.007,2
Poland,Europe,6437598,16959.731,18113,47.718,4833,118970,313.424,86,0.227,18
Colombia,Americas,6360089,12499.465,625,1.228,0,142629,280.308,14,0.028,0
Austria,Europe,5943417,66771.984,37878,425.545,2378,21923,246.296,23,0.258,0
Greece,Europe,5896788,55014.715,0,0,0,36283,338.506,0,0,0
Portugal,Europe,5570473,54103.751,1613,15.666,123,26266,255.111,48,0.466,10
Ukraine,Europe,5399231,12345.682,0,0,0,111298,254.49,0,0,0
Chile,Americas,5182360,27109.78,17438,91.221,2031,64247,336.087,73,0.382,17
Malaysia,Western Pacific,5043978,15584.188,1393,4.304,188,36966,114.212,9,0.028,0
Israel,Europe,4801511,55473.263,2549,29.449,0,12307,142.186,14,0.162,0
Thailand,South-East Asia,4728182,6773.902,147,0.211,0,33918,48.593,7,0.01,0
Belgium,Europe,4727795,41031.197,3917,33.995,0,33775,293.124,15,0.13,0
Czechia,Europe,4615945,43164.123,6108,57.116,1795,42484,397.272,37,0.346,3
Canada,Americas,4600615,12189.593,9206,24.392,0,51447,136.312,141,0.374,0
Peru,Americas,4486832,13608.067,1148,3.482,0,219493,665.698,64,0.194,0
Switzerland,Europe,4391007,50736,0,0,0,13949,161.174,0,0,0
Philippines,Western Pacific,4077109,3720.632,879,0.802,117,66160,60.375,52,0.047,7
South Africa,Africa,4061578,6848.2,0,0,0,102595,172.985,0,0,0
Denmark,Europe,3403958,58459.498,733,12.589,82,8284,142.269,29,0.498,3
Romania,Europe,3346046,17311.16,5704,29.51,0,67736,350.44,32,0.166,0
Sweden,Europe,2698535,26129.38,375,3.631,0,23731,229.783,0,0,0
Serbia,Europe,2497248,36052.467,5544,80.038,953,17864,257.9,43,0.621,9
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
Singapore,Western Pacific,2230570,38127.173,0,0,0,1722,29.434,0,0,0
Hungary,Europe,2195926,22477.303,0,0,0,48651,497.987,0,0,0
New Zealand,Western Pacific,2176499,45134.671,10029,207.974,0,2548,52.839,6,0.124,0
Bangladesh,South-East Asia,2037871,1237.403,42,0.026,0,29445,17.879,0,0,0
Slovakia,Europe,1863590,34144.987,701,12.844,171,21031,385.333,10,0.183,0
Georgia,Europe,1827537,45812.405,0,0,0,16971,425.426,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1703850,34321.092,181,3.646,0,8691,175.065,39,0.786,0
Pakistan,Eastern Mediterranean,1577213,714.019,252,0.114,50,30643,13.872,0,0,0
Kazakhstan,Europe,1499224,7984.488,502,2.674,64,19071,101.567,2,0.011,1
Norway,Europe,1479333,27560.521,310,5.775,34,5213,97.12,0,0,0
Finland,Europe,1462976,26477.804,287,5.194,0,8936,161.729,0,0,0
Slovenia,Europe,1330654,63489.611,2412,115.084,656,9150,436.575,2,0.095,0
Lithuania,Europe,1307021,46778.057,2220,79.453,634,9595,343.403,6,0.215,1
Bulgaria,Europe,1297243,18661.388,470,6.761,181,38219,549.796,3,0.043,0
Morocco,Eastern Mediterranean,1272490,3447.496,44,0.119,3,16296,44.15,0,0,0
Croatia,Europe,1269326,31278.324,334,8.23,0,17987,443.23,16,0.394,0
Guatemala,Americas,1237564,6907.758,1594,8.897,14,20178,112.628,10,0.056,0
Lebanon,Eastern Mediterranean,1232517,18057.68,804,11.779,0,10840,158.817,15,0.22,0
Costa Rica,Americas,1209725,23747.487,5561,109.165,0,9245,181.484,15,0.294,0
Bolivia (Plurinational State of),Americas,1193970,10228.458,1037,8.884,62,22365,191.596,0,0,0
Tunisia,Eastern Mediterranean,1150962,9738.549,169,1.43,0,29331,248.176,1,0.008,0
Cuba,Americas,1112631,9823.155,38,0.335,6,8530,75.309,0,0,0
Puerto Rico,Americas,1100123,38454.37,2375,83.017,199,5810,203.086,19,0.664,0
Ecuador,Americas,1057121,5991.712,0,0,0,36014,204.126,0,0,0
United Arab Emirates,Eastern Mediterranean,1052664,10643.288,734,7.421,0,2349,23.75,0,0,0
Uruguay,Americas,1034303,29774.997,0,0,0,7617,219.274,0,0,0
Panama,Americas,1031731,23911.627,458,10.615,0,8609,199.524,5,0.116,0
Mongolia,Western Pacific,1007900,30744.687,3,0.092,0,2136,65.156,0,0,0
Nepal,South-East Asia,1001149,3436.028,4,0.014,0,12020,41.254,0,0,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Latvia,Europe,976162,51170.247,185,9.698,13,6269,328.62,6,0.315,0
Saudi Arabia,Eastern Mediterranean,829882,2383.768,494,1.419,98,9617,27.624,3,0.009,0
Azerbaijan,Europe,828730,8173.545,215,2.12,9,10129,99.9,11,0.108,0
Paraguay,Americas,735709,10314.828,45,0.631,0,19878,278.695,8,0.112,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13784.962,0,0,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,696614,40939.365,0,0,0,1536,90.269,0,0,0
Sri Lanka,South-East Asia,672034,3138.403,5,0.023,0,16830,78.596,0,0,0
Kuwait,Eastern Mediterranean,663860,15544.994,404,9.46,0,2570,60.179,0,0,0
Dominican Republic,Americas,660790,6091.404,19,0.175,0,4384,40.413,0,0,0
Cyprus,Europe,650685,73274.925,1592,179.278,0,1330,149.774,25,2.815,0
Myanmar,South-East Asia,633947,1165.134,29,0.053,1,19490,35.821,0,0,0
Estonia,Europe,615433,46308.812,306,23.025,58,2940,221.223,0,0,0
Republic of Moldova,Europe,611050,15147.635,3690,91.473,0,12003,297.549,15,0.372,0
Venezuela (Bolivarian Republic of),Americas,552125,1941.645,146,0.513,74,5854,20.587,1,0.004,0
Egypt,Eastern Mediterranean,515759,503.994,61,0.06,0,24812,24.246,3,0.003,0
Libya,Eastern Mediterranean,507187,7381.246,13,0.189,13,6437,93.68,0,0,0
Ethiopia,Africa,500014,434.932,40,0.035,0,7572,6.586,0,0,0
Qatar,Eastern Mediterranean,494737,17172.09,681,23.637,124,688,23.88,2,0.069,1
Réunion,Africa,494595,55242.753,0,0,0,921,102.869,0,0,0
Honduras,Americas,472219,4767.67,103,1.04,0,11111,112.18,0,0,0
Armenia,Europe,447308,15095.264,0,0,0,8727,294.509,0,0,0
Bosnia and Herzegovina,Europe,401729,12244.793,93,2.835,1,16280,496.218,1,0.03,0
Oman,Eastern Mediterranean,399449,7822.171,0,0,0,4628,90.627,0,0,0
North Macedonia,Europe,346852,16648.523,0,0,0,9662,463.766,0,0,0
Zambia,Africa,342954,1865.507,0,0,0,4057,22.068,0,0,0
Kenya,Africa,342932,637.76,13,0.024,0,5688,10.578,0,0,0
Albania,Europe,333532,11589.826,44,1.529,0,3598,125.026,0,0,0
Botswana,Africa,329758,14022.547,0,0,0,2795,118.854,0,0,0
Luxembourg,Europe,317367,50688.859,766,122.343,8,1220,194.855,0,0,0
Mauritius,Africa,296042,23277.988,0,0,0,1044,82.09,0,0,0
Montenegro,Europe,288622,45954.38,428,68.146,30,2805,446.612,4,0.637,0
Brunei Darussalam,Western Pacific,279661,63925.583,0,0,0,150,34.287,0,0,0
Kosovo[1],Europe,273181,15213.353,178,9.913,1,3201,178.263,1,0.056,0
Algeria,Africa,271463,619.057,23,0.052,0,6881,15.692,0,0,0
Nigeria,Africa,266598,129.329,0,0,0,3155,1.531,0,0,0
Zimbabwe,Africa,264127,1777.086,0,0,0,5668,38.135,0,0,0
Uzbekistan,Europe,251247,750.681,176,0.526,18,1637,4.891,0,0,0
Mozambique,Africa,233214,746.155,0,0,0,2242,7.173,0,0,0
Martinique,Americas,229020,61028.873,0,0,0,1092,290.994,0,0,0
Lao People's Democratic Republic,Western Pacific,218020,2996.608,6,0.082,0,758,10.418,0,0,0
Afghanistan,Eastern Mediterranean,209414,537.947,92,0.236,20,7879,20.24,0,0,0
Iceland,Europe,209137,57434.076,53,14.555,9,263,72.226,0,0,0
Kyrgyzstan,Europe,206708,3168.332,35,0.536,0,2991,45.845,0,0,0
Guadeloupe,Americas,201886,50455.859,0,0,0,1010,252.422,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4230,65.215,0,0,0
Trinidad and Tobago,Americas,189296,13526.09,559,39.943,0,4347,310.614,8,0.572,0
Maldives,South-East Asia,185738,34361.31,6,1.11,0,311,57.535,0,0,0
Ghana,Africa,171172,550.872,0,0,0,1462,4.705,0,0,0
Namibia,Africa,171156,6736.025,0,0,0,4090,160.966,0,0,0
Uganda,Africa,170409,372.552,0,0,0,3630,7.936,0,0,0
Jamaica,Americas,154287,5210.344,91,3.073,0,3511,118.568,9,0.304,0
Cambodia,Western Pacific,138719,829.71,4,0.024,0,3056,18.279,0,0,0
Rwanda,Africa,133172,1028.179,0,0,0,1468,11.334,0,0,0
Cameroon,Africa,124392,468.593,0,0,0,1965,7.402,0,0,0
Malta,Europe,117610,22856.243,133,25.847,133,828,160.913,1,0.194,1
Barbados,Americas,106645,37110.048,0,0,0,575,200.087,0,0,0
Angola,Africa,105277,320.319,0,0,0,1933,5.881,0,0,0
French Guiana,Americas,98041,32824.542,0,0,0,413,138.274,0,0,0
Democratic Republic of the Congo,Africa,95748,106.908,0,0,0,1464,1.635,0,0,0
Senegal,Africa,88921,531.064,4,0.024,0,1971,11.771,0,0,0
Malawi,Africa,88605,463.174,0,0,0,2686,14.041,0,0,0
Côte d’Ivoire,Africa,88208,334.396,23,0.087,0,834,3.162,0,0,0
Suriname,Americas,82467,14057.706,240,40.912,0,1404,239.332,4,0.682,0
New Caledonia,Western Pacific,80017,28027.167,5,1.751,0,314,109.983,0,0,0
French Polynesia,Western Pacific,78055,27786.677,12,4.272,0,649,231.036,0,0,0
Eswatini,Africa,74199,6395.561,0,0,0,1423,122.655,0,0,0
Guyana,Americas,73075,9290.549,9,1.144,0,1298,165.024,0,0,0
Belize,Americas,70757,17794.773,17,4.275,0,688,173.026,0,0,0
Fiji,Western Pacific,68897,7685.58,8,0.892,0,883,98.5,0,0,0
Madagascar,Africa,67865,245.079,0,0,0,1422,5.135,0,0,0
Jersey,Europe,66391,61589.484,0,0,0,161,149.356,0,0,0
Sudan,Eastern Mediterranean,63829,145.565,20,0.046,20,5017,11.441,4,0.009,4
Mauritania,Africa,63439,1364.38,0,0,0,997,21.442,0,0,0
Cabo Verde,Africa,63244,11375.086,0,0,0,413,74.282,0,0,0
Bhutan,South-East Asia,62627,8116.427,7,0.907,0,21,2.722,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57423,328.119,0,0,0,3163,18.074,0,0,0
Burundi,Africa,53631,451.03,0,0,0,15,0.126,0,0,0
Guam,Western Pacific,50869,30140.127,16,9.48,0,415,245.889,0,0,0
Seychelles,Africa,50665,51516.569,0,0,0,172,174.891,0,0,0
Gabon,Africa,48981,2200.667,0,0,0,306,13.748,0,0,0
Andorra,Europe,47890,61981.492,15,19.414,0,159,205.785,0,0,0
Papua New Guinea,Western Pacific,46825,523.358,0,0,0,670,7.489,0,0,0
Curaçao,Americas,45786,27902.47,0,0,0,301,183.433,0,0,0
Aruba,Americas,44044,41252.833,0,0,0,282,264.129,0,0,0
United Republic of Tanzania,Africa,42846,71.728,0,0,0,846,1.416,0,0,0
Mayotte,Africa,42004,15396.514,0,0,0,187,68.545,0,0,0
Togo,Africa,39382,475.701,4,0.048,0,290,3.503,0,0,0
Guinea,Africa,38267,291.385,0,0,0,467,3.556,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Bahamas,Americas,37491,9533.775,0,0,0,833,211.828,0,0,0
Guernsey,Europe,34991,54276.54,62,96.172,0,66,102.376,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Haiti,Americas,34202,299.951,0,0,0,860,7.542,0,0,0
Mali,Africa,33051,163.208,49,0.242,0,743,3.669,0,0,0
Cayman Islands,Americas,31472,47888.01,0,0,0,37,56.299,0,0,0
Saint Lucia,Americas,30004,16339.645,0,0,0,409,222.734,0,0,0
Benin,Africa,27999,230.954,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27324,171.922,0,0,0,1361,8.563,0,0,0
Congo,Africa,25087,454.632,0,0,0,388,7.031,0,0,0
United States Virgin Islands,Americas,24780,23729.95,24,22.983,0,130,124.491,0,0,0
Solomon Islands,Western Pacific,24575,3577.751,0,0,0,153,22.275,0,0,0
Micronesia (Federated States of),Western Pacific,23948,20820.184,0,0,0,61,53.033,0,0,0
San Marino,Europe,23616,69585.715,33,97.236,0,122,359.479,0,0,0
Timor-Leste,South-East Asia,23419,1776.259,1,0.076,0,138,10.467,0,0,0
Burkina Faso,Africa,22056,105.515,0,0,0,396,1.894,0,0,0
Liechtenstein,Europe,21432,55312.669,0,0,0,87,224.534,0,0,0
Gibraltar,Europe,20433,60648.244,10,29.682,0,111,329.465,0,0,0
Grenada,Americas,19680,17489.758,0,0,0,238,211.512,0,0,0
Bermuda,Americas,18814,30212.13,15,24.087,0,160,256.933,0,0,0
South Sudan,Africa,18368,164.092,0,0,0,138,1.233,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
Equatorial Guinea,Africa,17130,1220.968,0,0,0,183,13.044,0,0,0
Tonga,Western Pacific,16810,15904.253,0,0,0,12,11.353,0,0,0
Samoa,Western Pacific,16427,8279.154,0,0,0,29,14.616,0,0,0
Monaco,Europe,16119,41073.795,6,15.289,0,67,170.727,0,0,0
Dominica,Americas,15760,21891.625,0,0,0,74,102.791,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Nicaragua,Americas,15655,236.318,17,0.257,0,245,3.698,0,0,0
Marshall Islands,Western Pacific,15649,26436.801,31,52.37,0,17,28.719,0,0,0
Central African Republic,Africa,15367,318.173,0,0,0,113,2.34,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13649,23713.884,0,0,0,41,71.234,0,0,0
Gambia,Africa,12598,521.296,0,0,0,372,15.393,0,0,0
Saint Martin,Americas,12271,31741.638,0,0,0,46,118.989,0,0,0
Vanuatu,Western Pacific,12014,3911.508,0,0,0,14,4.558,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11945,40.049,0,0,0,2159,7.239,0,0,0
Sint Maarten,Americas,11020,25698.428,0,0,0,90,209.878,0,0,0
Eritrea,Africa,10189,287.304,0,0,0,103,2.904,0,0,0
Bonaire,Americas,9848,47085.824,0,0,0,33,157.781,0,0,0
Saint Vincent and the Grenadines,Americas,9589,8643.411,0,0,0,123,110.871,0,0,0
Niger,Africa,9513,39.299,0,0,0,315,1.301,0,0,0
Antigua and Barbuda,Americas,9106,9298.573,0,0,0,146,149.088,0,0,0
Comoros,Africa,9001,1035.072,0,0,0,160,18.399,0,0,0
Guinea-Bissau,Africa,8960,455.284,0,0,0,176,8.943,0,0,0
American Samoa,Western Pacific,8320,15073.283,0,0,0,34,61.598,0,0,0
Liberia,Africa,8090,159.955,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7760,97.28,0,0,0,125,1.567,0,0,0
Chad,Africa,7678,46.743,0,0,0,194,1.181,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Cook Islands,Western Pacific,7031,40030.745,3,17.08,0,2,11.387,0,0,0
Saint Kitts and Nevis,Americas,6597,12402.241,1,1.88,0,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6557,16935.276,0,0,0,38,98.146,0,0,0
Sao Tome and Principe,Africa,6281,2865.956,0,0,0,77,35.134,0,0,0
Palau,Western Pacific,5991,33114.084,2,11.055,0,9,49.746,0,0,0
Saint Barthélemy,Americas,5441,55042.994,0,0,0,5,50.582,0,0,0
Nauru,Western Pacific,5247,48430.866,0,0,0,1,9.23,0,0,0
Kiribati,Western Pacific,5014,4197.607,1,0.837,0,18,15.069,0,0,0
Anguilla,Americas,3904,26023.197,0,0,0,12,79.989,0,0,0
Wallis and Futuna,Western Pacific,3427,30473.057,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,3415,58930.112,0,0,0,2,34.513,0,0,0
Tuvalu,Western Pacific,2779,23566.825,0,0,0,0,0,0,0,0
"Saint Helena, Ascension and Tristan da Cunha",Africa,2166,35677.813,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,1923,55211.025,0,0,0,0,0,0,0,0
Montserrat,Americas,1403,28065.613,0,0,0,8,160.032,0,0,0
Sint Eustatius,Americas,1214,38674.737,0,0,0,6,191.144,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Niue,Western Pacific,747,46168.109,0,0,0,0,0,0,0,0
Saba,Americas,742,38385.929,0,0,0,2,103.466,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,5,370.37,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
